,0
0,ACCESS-ESM1-5
1,AWI-ESM-1-1-LR
2,CESM2
3,CNRM-CM6-1
4,EC-Earth3-LR
5,FGOALS-f3-L
6,FGOALS-g3
7,GISS-E2-1-G
8,HadGEM3-GC31-LL
9,INM-CM4-8
10,IPSL-CM6A-LR
11,MIROC-ES2L
12,MPI-ESM1-2-LR
13,NESM3
14,NorESM1-F
15,NorESM2-LM
