,0
0,AWI-ESM-1-1-LR
1,CNRM-CM6-1
2,EC-Earth3-LR
3,FGOALS-f3-L
4,FGOALS-g3
5,GISS-E2-1-G
6,HadGEM3-GC31-LL
7,INM-CM4-8
8,IPSL-CM6A-LR
9,MIROC-ES2L
10,MPI-ESM1-2-LR
11,NESM3
12,NorESM1-F
13,NorESM2-LM
