,0
0,AWI-ESM-1-1-LR
1,CESM2
2,CNRM-CM6-1
3,EC-Earth3-LR
4,FGOALS-f3-L
5,FGOALS-g3
6,GISS-E2-1-G
7,HadGEM3-GC31-LL
8,INM-CM4-8
9,IPSL-CM6A-LR
10,MIROC-ES2L
11,MPI-ESM1-2-LR
12,NESM3
13,NorESM1-F
14,NorESM2-LM
