,0
0,AWI-ESM-1-1-LR
1,BCC-CSM1-1
2,CCSM4
3,CESM2
4,CNRM-CM5
5,CNRM-CM6-1
6,COSMOS-ASO
7,CSIRO-Mk3-6-0
8,CSIRO-Mk3L-1-2
9,EC-EARTH-2-2
10,EC-Earth3-LR
11,FGOALS-f3-L
12,FGOALS-g2
13,FGOALS-g3
14,FGOALS-s2
15,GISS-E2-1-G
16,GISS-E2-R
17,HadGEM2-CC
18,HadGEM2-ES
19,HadGEM3-GC31-LL
20,INM-CM4-8
21,IPSL-CM5A-LR
22,IPSL-CM6A-LR
23,KCM1-2-2
24,MIROC-ES2L
25,MIROC-ESM
26,MPI-ESM-P
27,MPI-ESM1-2-LR
28,MRI-CGCM3
29,MRI-ESM2-0
30,NESM3
31,NorESM1-F
32,NorESM2-LM
33,UofT-CCSM-4
