,0
0,BCC-CSM1-1
1,CCSM4
2,CESM2
3,CNRM-CM5
4,CNRM-CM6-1
5,CSIRO-Mk3-6-0
6,CSIRO-Mk3L-1-2
7,FGOALS-f3-L
8,FGOALS-g2
9,FGOALS-g3
10,FGOALS-s2
11,GISS-E2-1-G
12,GISS-E2-R
13,HadGEM2-ES
14,HadGEM3-GC31-LL
15,INM-CM4-8
16,IPSL-CM5A-LR
17,IPSL-CM6A-LR
18,MIROC-ES2L
19,MIROC-ESM
20,MPI-ESM-P
21,MPI-ESM1-2-LR
22,MRI-CGCM3
23,MRI-ESM2-0
24,NESM3
