,0
0,ACCESS-ESM1-5
1,BCC-CSM1-1
2,CCSM4
3,CESM2
4,CNRM-CM5
5,CNRM-CM6-1
6,CSIRO-Mk3-6-0
7,CSIRO-Mk3L-1-2
8,FGOALS-f3-L
9,FGOALS-g2
10,FGOALS-g3
11,FGOALS-s2
12,GISS-E2-1-G
13,GISS-E2-R
14,HadGEM2-ES
15,HadGEM3-GC31-LL
16,INM-CM4-8
17,IPSL-CM5A-LR
18,IPSL-CM6A-LR
19,MIROC-ES2L
20,MIROC-ESM
21,MPI-ESM-P
22,MPI-ESM1-2-LR
23,MRI-CGCM3
24,MRI-ESM2-0
25,NESM3
