,0
0,AWI-ESM-1-1-LR
1,BCC-CSM1-1
2,CCSM4
3,CESM2
4,CNRM-CM5
5,CSIRO-Mk3-6-0
6,CSIRO-Mk3L-1-2
7,EC-Earth3-LR
8,FGOALS-f3-L
9,FGOALS-g2
10,FGOALS-g3
11,FGOALS-s2
12,GISS-E2-1-G
13,GISS-E2-R
14,HadGEM2-CC
15,HadGEM2-ES
16,HadGEM3-GC31-LL
17,INM-CM4-8
18,IPSL-CM5A-LR
19,IPSL-CM6A-LR
20,KCM1-2-2
21,MIROC-ES2L
22,MIROC-ESM
23,MPI-ESM-P
24,MPI-ESM1-2-LR
25,MRI-CGCM3
26,MRI-ESM2-0
27,NESM3
28,NorESM1-F
29,NorESM2-LM
30,UofT-CCSM-4
