,0
0,AWI-ESM-1-1-LR
1,BCC-CSM1-1
2,CCSM4
3,CESM2
4,CNRM-CM5
5,CSIRO-Mk3-6-0
6,CSIRO-Mk3L-1-2
7,EC-EARTH-2-2
8,EC-Earth3-LR
9,FGOALS-f3-L
10,FGOALS-g2
11,FGOALS-g3
12,FGOALS-s2
13,GISS-E2-1-G
14,GISS-E2-R
15,HadGEM2-CC
16,HadGEM2-ES
17,HadGEM3-GC31-LL
18,INM-CM4-8
19,IPSL-CM5A-LR
20,IPSL-CM6A-LR
21,KCM1-2-2
22,MIROC-ES2L
23,MIROC-ESM
24,MPI-ESM-P
25,MPI-ESM1-2-LR
26,MRI-CGCM3
27,MRI-ESM2-0
28,NESM3
29,NorESM1-F
30,NorESM2-LM
31,UofT-CCSM-4
