,model,ave,,amp
0,AWI-ESM-1-1-LR,-0.587106903,AWI-ESM-1-1-LR,-0.4928176
1,CCSM4,-1.162541946,CCSM4,-1.2377734
2,CNRM-CM5,-0.408147375,CNRM-CM5,-0.3236513
3,COSMOS-ASO,-0.492127021,COSMOS-ASO,-0.2287128
4,FGOALS-g2,-0.639481783,FGOALS-g2,-0.1770998
5,GISS-E2-R,-1.046937148,GISS-E2-R,-0.5989096
6,INM-CM4-8,-1.055255254,INM-CM4-8,0.17144322
7,IPSL-CM5A-LR,-0.898893515,IPSL-CM5A-LR,-1.3755172
