,model,ave,,amp
0,AWI-ESM-1-1-LR,0.149645487,AWI-ESM-1-1-LR,-0.4928176
1,CCSM4,0.258450588,CCSM4,-1.2377734
2,CNRM-CM5,0.088216027,CNRM-CM5,-0.3236513
3,COSMOS-ASO,-0.111436566,COSMOS-ASO,-0.2287128
4,FGOALS-g2,-0.001701752,FGOALS-g2,-0.1770998
5,GISS-E2-R,0.151881456,GISS-E2-R,-0.5989096
6,INM-CM4-8,-0.289884925,INM-CM4-8,0.17144322
7,IPSL-CM5A-LR,0.134514848,IPSL-CM5A-LR,-1.3755172
,,,,
,,,,
,,,,
,,,,
,,,,
