,model,ave,,amp
0,AWI-ESM-1-1-LR,0.100272218,AWI-ESM-1-1-LR,-0.49281764
1,CCSM4,-0.1622293,CCSM4,-1.2377734
2,CNRM-CM5,0.014740427,CNRM-CM5,-0.3236513
3,COSMOS-ASO,-0.141101599,COSMOS-ASO,-0.2287128
4,FGOALS-g2,-0.449546337,FGOALS-g2,-0.17709982
5,GISS-E2-R,-0.382842143,GISS-E2-R,-0.5989096
6,INM-CM4-8,-0.726887862,INM-CM4-8,0.17144322
7,IPSL-CM5A-LR,-0.705962817,IPSL-CM5A-LR,-1.3755172
