,model,ave,,amp
1,AWI-ESM-1-1-LR,-0.117750684,AWI-ESM-1-1-LR,-0.61750615
2,CNRM-CM6-1,0.0381248,CNRM-CM6-1,-0.13808846
3,EC-Earth3-LR,-0.014928897,EC-Earth3-LR,-0.40843797
4,FGOALS-f3-L,-0.057648341,FGOALS-f3-L,-0.005254269
5,FGOALS-g3,0.081173698,FGOALS-g3,-0.22029996
6,GISS-E2-1-G,0.066624045,GISS-E2-1-G,-0.05478263
7,HadGEM3-GC31-LL,-0.116042813,HadGEM3-GC31-LL,0.038469076
8,INM-CM4-8,-0.035604715,INM-CM4-8,-0.13343358
9,IPSL-CM6A-LR,-0.076156298,IPSL-CM6A-LR,-0.16937256
