,0
0,AWI-ESM-1-1-LR
1,CCSM4
2,CNRM-CM5
3,COSMOS-ASO
4,FGOALS-g2
5,GISS-E2-R
6,INM-CM4-8
7,IPSL-CM5A-LR
8,MIROC-ES2L
9,MIROC-ESM
10,MPI-ESM-P
11,MRI-CGCM3
12,UofT-CCSM-4
